open,high,low,close,volume,datetime
1.127,1.12752,1.12699,1.1274,582.0,2022-02-02 06:00:00
1.1274,1.12752,1.12703,1.12727,614.0,2022-02-02 07:00:00
1.12727,1.12739,1.12661,1.12686,1205.0,2022-02-02 08:00:00
1.12686,1.12836,1.12676,1.12808,2479.0,2022-02-02 09:00:00
1.12808,1.12937,1.1279,1.12889,5418.0,2022-02-02 10:00:00
1.12889,1.12938,1.12778,1.12926,4364.0,2022-02-02 11:00:00
1.12926,1.13137,1.12893,1.13082,5802.0,2022-02-02 12:00:00
1.13082,1.13195,1.13049,1.13156,4164.0,2022-02-02 13:00:00
1.13156,1.1328,1.13136,1.13243,3456.0,2022-02-02 14:00:00
1.13243,1.13293,1.13105,1.13107,6221.0,2022-02-02 15:00:00
1.13107,1.13206,1.13026,1.13044,7671.0,2022-02-02 16:00:00
1.13044,1.13094,1.12919,1.12961,7235.0,2022-02-02 17:00:00
1.12961,1.13013,1.12922,1.12987,3872.0,2022-02-02 18:00:00
1.12987,1.13116,1.12977,1.13107,2038.0,2022-02-02 19:00:00
1.13107,1.13138,1.13051,1.13087,1320.0,2022-02-02 20:00:00
1.13087,1.13117,1.13054,1.13096,1418.0,2022-02-02 21:00:00
1.13096,1.13133,1.13031,1.13047,1481.0,2022-02-02 22:00:00
1.13048,1.13076,1.13015,1.13026,821.0,2022-02-02 23:00:00
1.1303,1.13078,1.13014,1.13024,344.0,2022-02-03 00:00:00
1.13029,1.13048,1.12977,1.12987,917.0,2022-02-03 01:00:00
1.12987,1.12994,1.12943,1.12957,826.0,2022-02-03 02:00:00
1.12957,1.12998,1.12925,1.12994,1183.0,2022-02-03 03:00:00
1.12994,1.1303,1.12967,1.12982,1036.0,2022-02-03 04:00:00
1.12982,1.13076,1.12971,1.13042,1122.0,2022-02-03 05:00:00
1.13042,1.13047,1.12942,1.12962,912.0,2022-02-03 06:00:00
1.12962,1.13013,1.12958,1.13001,978.0,2022-02-03 07:00:00
1.13001,1.13006,1.12895,1.12907,1268.0,2022-02-03 08:00:00
